Steps,Manhattan Distance
1,12
2,10
3,8
4,8
5,10
6,14
7,12
8,10
9,8
10,8
11,14
12,12
13,10
14,8
15,14
16,14
17,12
18,10
19,14
20,12
21,10
22,12
23,10
24,8
25,8
26,12
27,10
28,8
29,10
30,8
31,12
32,18
33,16
34,14
35,12
36,12
37,10
38,8
39,10
40,10
41,10
42,12
43,10
44,8
45,6
46,10
47,8
48,6
49,10
50,8
51,6
52,10
53,10
54,10
55,10
56,10
57,10
58,14
59,12
60,10
61,16
62,14
63,12
64,10
65,10
66,10
67,14
68,12
69,10
70,10
71,14
72,12
73,10
74,10
75,14
76,12
77,10
78,12
79,10
80,12
81,10
82,8
83,6
84,10
85,8
86,6
87,8
88,6
89,10
90,8
91,6
92,12
93,10
94,10
95,10
96,8
97,6
98,12
99,10
100,8
101,6
102,12
103,10
104,8
105,6
106,10
107,8
108,6
109,12
110,10
111,8
112,6
113,12
114,10
115,8
116,6
117,10
118,8
119,6
120,6
121,12
122,10
123,8
124,6
125,8
126,6
127,10
128,8
129,6
130,12
131,10
132,8
133,6
134,12
135,10
136,8
137,6
138,8
139,6
140,12
141,10
142,8
143,6
144,10
145,12
146,12
147,12
148,10
149,8
150,6
151,8
152,8
153,12
154,10
155,8
156,10
157,8
158,10
159,8
160,8
161,8
162,14
163,12
164,10
165,8
166,8
167,8
168,10
169,8
170,12
171,10
172,8
173,8
174,10
175,8
176,10
177,8
178,10
179,8
180,8
181,14
182,12
183,10
184,10
185,8
186,10
187,8
188,14
189,12
190,10
191,8
192,10
193,8
194,8
195,10
196,8
197,12
198,10
199,8
200,10
201,10
202,8
203,10
204,8
205,10
206,8
207,6
208,8
209,6
210,12
211,10
212,8
213,12
214,12
215,10
216,10
217,10
218,8
219,8
220,14
221,12
222,10
223,10
224,8
225,6
226,10
227,8
228,6
229,10
230,10
231,8
232,12
233,10
234,8
235,10
236,10
237,12
238,10
239,16
240,14
241,12
242,10
243,12
244,10
245,14
246,12
247,10
248,12
249,10
250,16
251,16
252,14
253,12
254,10
255,16
256,14
257,12
258,10
259,12
260,12
261,12
262,12
263,16
264,14
265,12
266,10
267,8
268,10
269,12
270,10
271,8
272,6
273,4
274,6
275,4
276,6
277,4
278,8
279,6
280,4
281,4
282,6
283,8
284,6
285,4
286,12
287,10
288,8
289,6
290,4
291,6
292,4
293,6
294,4
295,4
296,6
297,4
298,10
299,8
300,6
301,4
302,10
303,8
304,8
305,8
306,10
307,8
308,8
309,6
310,4
311,6
312,4
313,8
314,6
315,4
316,6
317,4
318,8
319,6
320,4
321,8
322,6
323,4
324,8
325,10
326,8
327,8
328,8
329,10
330,16
331,14
332,12
333,10
334,14
335,12
336,10
337,14
338,12
339,10
340,12
341,10
342,10
343,12
344,10
345,12
346,10
347,12
348,12
349,10
350,8
351,6
352,4
353,6
354,10
355,8
356,6
357,6
358,4
359,4
360,6
361,4
362,10
363,8
364,6
365,4
366,12
367,10
368,8
369,6
370,4
371,6
372,4
373,6
374,4
375,8
376,6
377,4
378,8
379,6
380,4
381,4
382,6
383,8
384,6
385,12
386,10
387,8
388,6
389,10
390,8
391,6
392,8
393,8
394,8
395,8
396,8
397,8
398,8
399,8
400,8
401,8
402,6
403,6
404,6
405,4
406,4
407,4
408,8
409,6
410,4
411,6
412,4
413,10
414,8
415,10
416,8
417,14
418,12
419,10
420,12
421,10
422,14
423,12
424,10
425,14
426,12
427,10
428,10
429,10
430,16
431,14
432,12
433,10
434,8
435,12
436,10
437,8
438,10
439,8
440,6
441,4
442,6
443,4
444,6
445,4
446,8
447,6
448,4
449,10
450,8
451,6
452,4
453,8
454,6
455,4
456,8
457,6
458,4
459,8
460,6
461,4
462,10
463,8
464,6
465,4
466,6
467,4
468,4
469,8
470,12
471,10
472,8
473,6
474,10
475,10
476,8
477,12
478,10
479,8
480,8
481,8
482,10
483,8
484,10
485,10
486,8
487,6
488,12
489,10
490,8
491,6
492,10
493,10
494,8
495,12
496,10
497,8
498,10
499,8
500,12
501,10
502,8
503,14
504,12
505,10
506,8
507,12
508,10
509,8
510,12
511,10
512,8
513,10
514,12
515,10
516,8
517,12
518,10
519,8
520,12
521,10
522,8
523,8
524,10
525,8
526,10
527,8
528,12
529,12
530,12
531,10
532,12
533,10
534,16
535,14
536,12
537,10
538,14
539,12
540,10
541,10
542,12
543,10
544,14
545,14
546,12
547,10
548,10
549,14
550,12
551,16
552,14
553,12
554,14
555,14
556,14
557,18
558,16
559,22
560,20
561,18
562,16
563,18
564,18
565,16
566,18
567,16
568,14
569,12
570,18
571,16
572,14
573,12
574,14
575,14
576,14
577,14
578,16
579,14
580,16
581,14
582,14
583,12
584,10
585,12
586,10
587,8
588,6
589,4
590,6
591,4
592,8
593,6
594,4
595,2
596,0
